"CPCv2.1","Code","ISSCAAP","ISSCFC_Parent","Identifier","Name_En","Name_Es","Name_Fr","Observations","SITCv4"
"21525","411.12.4.4.10","24","411.12.4.4","358","Shad oil","Aceite de sábalo","Huile d'alose","true","411.12"
"21231","035.02.2.5.3.49","33","035.02.2.5.3","362","Mullet, salted","Lizas, saladas","Mulets, salés","true","035.29"
"21227","035.02.3.9.1.21","32","035.02.3.9.1","363","Cod roes, salted or sugar salted","Huevas de bacalao, saladas o conservadas en sal y azúcar","Rogues de morue, salées ou salées en saumure sucrée","true","035.4"
"21227","035.02.3.9.1.22","32","035.02.3.9.1","364","Alaska pollock, roes, pickled","Huevas de colín de Alaska, en salmuera","Rogues de lieu d'Alaska, en saumure","true","035.4"
"21227","035.02.3.9.1.24","35","035.02.3.9.1","365","Herring roes, dried","Huevas de arenque, secadas","Rogues de hareng, séchées","true","035.4"
"21227","035.02.3.9.1.25","35","035.02.3.9.1","366","Herring roes, cured","Huevas de arenque, aderezadas","Rogues de hareng, traitées","true","035.4"
"21231","035.02.2.5.1.90","31","035.02.2.5.1","368","Flatfish, salted or in brine, nei","Peces planos nep, salados o en salmuera","Poissons plats nca, salés ou en saumure","true","035.29"
"21231","035.02.2.5.2.11","32","035.02.2.5.2","369","Atlantic cod, salted or in brine","Bacalao del Atlántico, salado o en salmuera","Morue de l'Atlantique, salée ou en saumure","true","035.21"
"21231","035.02.2.4.5.90","25","035.02.2.4.5","370","Miscellaneous diadromous fish, salted or in brine, nei","Peces diádromos diversos, salados o en salmuera, nep","Poissons diadromes divers, salés ou en saumure, nca","true","035.29"
"21224","035.02.3.5.2.60","32","035.02.3.5.2","372","Hakes, fillets, dried, salted or in brine","Merluzass en filets, secas, saladas o en salmuera","Merlus en filets, séchés, salés ou en saumure","true","035.12"
"21227","035.02.3.9.1.26","23","035.02.3.9.1","373","Salmon roes, cured","Huevas de salmón, aderezadas","Rogues de saumon, traitées","true","035.4"
"21227","035.02.3.9.1.27","34","035.02.3.9.1","374","Lumpfish roes, salted","Huevas de cyclopterus lumpus, saladas","Rogues de lompe, salées","true","035.4"
"21254","036.0.1.4.3.31","43","036.0.1.4.3","375","Norway lobsters (Nephrops spp.), whole, frozen","Cigalas (Nephrops spp.), enteras, congeladas","Langoustines (Nephrops spp.), entières, congelées","true","036.19"
"21224","035.02.3.5.8.90","38","035.02.3.5.8","378","Sharks, rays, etc., fillets, dried, salted or in brine, nei","Tiburones, rayas, etc., filetes, seca, salada o en salmuera, nep","Requins, raies, etc., filets, séchés, salés ou en saumure, nca","true","035.12"
"21231","035.02.1.5.2.90","32","035.02.1.5.2","379","Gadiformes nei, dried, unsalted","Gadiformes nep, secos, sin salar","Poissons gadiformes nca, séchés, non salés","true","035.13"
"","035.01.1","","035.01","382","Fishmeal fit for human consumption","Harina de pescado, apta para el consumo humano","Farine de poisson, propre à l'alimentation humaine","false",""
"","035.02.1.5.2","","035.02.1.5","384","Cods, hakes, haddocks, etc., dried, whether or not salted","Bacalaos, merluzas, eglefinos, etc., secos, incluso salados, sin ahumar","Morues, merlus, églefins, etc., séchés, même salés, mais non fumés","false",""
"","035.02.3.3.9","","035.02.3.3","386","Miscellaneous freshwater fish, fillets, dried, salted or in brine","Filetes de peces de agua dulce diversos, secos, salados o en salmuera","Filets de poissons d'eau douce divers, séchés, salés ou en saumure","false",""
"","035.02.3.4.3","","035.02.3.4","387","Salmons, trouts, smelts, etc., fillets, dried, salted or in brine","Salmones, truchas, eperlanos, etc., filetes, secos, salados o en salmuera","Saumons, truites, éperlans, etc., filets, séchés, salés ou en saumure","false",""
"","035.02.3.4.5","","035.02.3.4","388","Miscellaneous diadromous fish, fillets, dried, salted or in brine","Peces diádromos diversos, filetes, secos, salados o en salmuera","Poissons diadromes divers, filets, séchés, salés ou en saumure","false",""
"","035.02.3.5.1","","035.02.3.5","389","Flounders, halibuts, soles, etc., fillets, dried, salted or in brine","Platijas, halibuts, lenguados, etc., filetes, secos, salados o en salmuera","Flets, flétans, soles, etc., filets, séchés, salés ou en saumure","false",""
"","035.02.3.5.2","","035.02.3.5","390","Cods, hakes, haddocks, etc., fillets, dried, salted or in brine","Bacalaos, merluzas, eglefinos, etc., filetes, secos salados o en salmuera","Morues, merlus, églefins, etc., filets, séchés, salés ou en saumure","false",""
"","035.02.3.5.4","","035.02.3.5","391","Miscellaneous demersal fish, fillets, dried, salted or in brine","Peces demersales diversos, filetes, secos, salados o en salmuera","Poissons démersaux divers, filets, séchés, salés ou en saumure","false",""
"","035.02.3.5.5","","035.02.3.5","392","Herrings, sardines, anchovies, etc., fillets, dried, salted or in brine","Arenques, sardinas, anchoas, etc., filetes, secos, salados o en salmuera","Harengs, sardines, anchois, etc., filets, séchés, salés ou en saumure","false",""
"21233","035.01.1.90","39","035.01.1","393","Flours, meals and pellets of fish, fit for human consumption","Harina, polvo y pellets de pescado, aptos para la alimentación humana ","Farines, poudres et agglomérés sous forme de pellets de poissons, propres à l’alimentation humaine","true","035.5"
"21231","035.02.1.5.2.11","32","035.02.1.5.2","394","Cod, dried, unsalted (stockfish)","Bacalao, seco, sin salar (estocafís)","Morue, séchée, non salée (stockfish)","true","035.11"
"21231","035.02.1.5.2.19","32","035.02.1.5.2","395","Cods nei, dried,  whether or not salted","Bacalaos nep, secos, incluso salados, sin ahumar","Morues nca, séchées, même salées, mais non fumées","true","035.11"
"21231","035.02.1.5.2.60","32","035.02.1.5.2","396","Hakes, dried, unsalted","Merluzas, secas, sin salar","Merlus, séchés, non salés","true","035.13"
"21231","035.02.1.5.4.90","34","035.02.1.5.4","397","Groundfish, dried, unsalted, nei","Pescado de fondo, seco sin salar, nep","Poissons de fond, séchés non salés, nca","true","035.13"
"21234","035.02.3.9.2.31","38","035.02.3.9.2","399","Shark fins, dried, unsalted","Aletas de tiburón, secas, sin salar","Ailerons de requin, séchés, non salés","true","035.13"
"21224","035.02.3.3.9.90","13","035.02.3.3.9","400","Freshwater fish nei, fillets, dried, salted, or in brine","Peces de agua dulce nep, filetes, secos, salados, o en salmuera","Poissons d'eau douce nca, filets, séchés, salés, ou en saumure","true","035.12"
"21231","035.02.2.4.3.39","23","035.02.2.4.3","401","Salmons, salted or in brine","Salmones, salados o en salmuera","Saumons, salés ou en saumure","true","035.29"
"21231","035.02.2.4.3.391","23","035.02.2.4.3","402","Salmon sides, salted or in brine","Ventrisca de salmón, salada o en salmuera","Filets de saumon, salés ou en saumure","true","035.29"
"21231","035.02.1.4.3.50","23","035.02.1.4.3","403","Trouts, dried, salted","Truchas, secas, saladas","Truites, séchées, salées","true","035.13"
"21224","035.02.3.5.5.90","35","035.02.3.5.5","405","Clupeoids nei, fillets, dried, salted or in brine","Clupeidos nep, filetes, secos, salados o en salmuera","Clupeoïdes nca, filets, séchés, salés ou en saumure","true","035.12"
"21224","035.02.3.5.1.13","31","035.02.3.5.1","406","Greenland halibut fillets, dried, salted or in brine","Halibut negro en filetes, seco, salado o en salmuera","Filets de flétan noir, secos, salés ou en saumure","true","035.12"
"","035.03.3","","035.03","407","Freshwater fish, smoked","Peces de agua dulce, ahumados","Poissons d'eau douce, fumés","false",""
"21224","035.02.3.5.2.11","32","035.02.3.5.2","408","Cod nei fillets, dried, salted or in brine","Bacalao nep en filetes, seco, salado o en salmuera","Filets de morue nca, séchés, salés ou en saumure","true","035.12"
"","035.03.3.9","","035.03.3","409","Miscellaneous freshwater fish, smoked","Peces de agua dulce diversos, ahumados","Poissons d'eau douce divers, fumés","false",""
"21232","035.03.3.9.90","13","035.03.3.9","410","Miscellaneous freshwater fish, smoked","Peces de agua dulce, nep, ahumados","Poissons d'eau douce, nca, fumés","true","035.3"
"21231","035.02.1.5.2.95","32","035.02.1.5.2","411","Gadiformes nei, dried and salted","Gadiformes nep, secos y salados","Poissons gadiformes nca,  séchés et salés","true","035.13"
"21231","035.02.2.5.2.90","32","035.02.2.5.2","412","Gadiformes, salted or in brine, nei","Gadiformes, salados o en salmuera, nep","Poissons gadiformes, salés ou en saumure, nca","true","035.29"
"21224","035.02.3.5.4.90","34","035.02.3.5.4","414","Miscellaneous demersal fish nei, fillets, dried, salted or in brine","Peces demersales diversos nep, filetes, secos, salados o en salmuera","Poissons démersaux divers nca, filets, séchés, salés ou en saumure","true","035.12"
"21231","035.02.1.5.3.90","33","035.02.1.5.3","415","Miscellaneous coastal fish, nei, dried, unsalted","Peces costeros diversos, nep,secos, sin salar","Poissons côtiers divers, nca,séchés, non salés","true","035.13"
"21224","035.02.3.5.5.191","35","035.02.3.5.5","416","Herring fillets, dried, salted or in brine","Arenques en filetes, secos, salados o en salmuera","Filets de hareng, séchés, salés ou en saumure","true","035.12"
"21232","035.03.5.4.12","34","035.03.5.4","418","Snoeks, smoked","Sierras, ahumadas","Thyrsites, fumés","true","035.3"
"","035.02.3.9","","035.02.3","420","Miscellaneous fish products, dried, salted or in brine","Productos diversos de pescado, secos, salados o en salmuera","Produits divers de poissons, séchés, salés ou en saumure","false",""
"","035.03","","035","421","Fish smoked","Pescado, ahumado","Poisson fumé","false",""
"","035.03.4","","035.03","422","Diadromous fish, smoked","Peces diádromos ahumados","Poissons diadromes fumés","false",""
"","035.03.5","","035.03","423","Marine fishes, smoked","Pescado marino, ahumado","Poissons marins, fumés","false",""
"","035.03.9","","035.03","424","Miscellaneous fish products, smoked","Productos diversos de pescado, ahumados","Produits divers de poissons, fumés","false",""
"","035.02.3.5.6","","035.02.3.5","425","Tunas, bonitos, billfishes, etc., fillets, dried, salted or in brine","Atunes, bonitos, agujas, etc., filetes, secos, salados o en salmuera","Thons, pélamides, marlins, etc., filets, séchés, salés ou en saumure","false",""
"","035.02.3.5.7","","035.02.3.5","426","Miscellaneous pelagic fish, fillets, dried, salted or in brine","Peces pelágicos diversos, filetes, secos, salados o en salmuera","Poissons pélagiques divers, filets, séchés, salés ou en saumure","false",""
"","035.02.3.5.8","","035.02.3.5","427","Sharks, rays, chimaeras, etc., fillets, dried, salted or in brine","Tiburones, rayas, quimeras, etc., filetes, secos, salados o en salmuera","Requins, raies, chimères, etc., filets, séchés, salés ou en saumure","false",""
"","035.02.3.5.9","","035.02.3.5","428","Miscellaneous marine fish, fillets, dried, salted or in brine","Peces marinos diversos en filetes, secos, salados o en salmuera","Poissons marins divers, filets, séchés, salés ou en saumure","false",""
"","035.02.3.9.1","","035.02.3.9","429","Fish livers, roes, milt etc., dried, salted or in brine","Hígados, huevas, etc. de pescado, secos, salados o en salmuera","Foies, rogues, etc. de poissons, séchés, salés ou en saumure","false",""
"","035.03.4.2","","035.03.4","430","River eels, smoked","Anguilas, ahumadas","Anguilles ,fumées","false",""
"","035.03.4.3","","035.03.4","431","Salmons, trouts, smelts, etc., smoked","Salmones, truchas, eperlanos, etc., ahumado","Saumons, truites, éperlans, etc., fumés","false",""
"","035.03.4.5","","035.03.4","432","Miscellaneous diadromous fish, smoked","Peces diádromos diversos, ahumados","Poissons diadromes divers, fumés","false",""
"","035.03.5.1","","035.03.5","433","Flounders, halibuts, soles, etc., smoked","Platijas, halibuts, lenguados, etc., ahumados","Flets, flétans, soles, etc., fumés","false",""
"","035.03.5.2","","035.03.5","434","Cods, hakes, haddocks, etc., smoked","Bacalaos, merluzas, eglefinos, etc., ahumados","Morues, merlus, églefins, etc., fumés","false",""
"","035.03.5.5","","035.03.5","435","Herrings, sardines, anchovies, etc., smoked","Arenques, sardinas, anchoas, etc., ahumados","Harengs, sardines, anchois, etc., fumés","false",""
"","035.03.5.6","","035.03.5","436","Tunas, bonitos, billfishes, etc., smoked","Atunes, bonitos, agujas, etc., ahumados","Thons, pélamides, marlins, etc., fumés","false",""
"","035.03.5.7","","035.03.5","437","Miscellaneous pelagic fish, smoked","Peces pelágicos diversos, ahumados","Poissons pélagiques divers, fumés","false",""
"","035.03.5.9","","035.03.5","438","Miscellaneous marine fish, smoked","Peces marinos diversos, ahumados","Poissons marins divers, fumés","false",""
"","035.03.9.1","","035.03.9","439","Fish livers, roes, etc., smoked","Hígados, huevas, etc. de pescado, ahumados","Foies, rogues, etc. de poisson, fumés","false",""
"21231","035.02.2.5.6.90","36","035.02.2.5.6","440","Tunas nei, salted or in brine","Atunes nep, salados o en salmuera","Thons nca, salés ou en saumure","true","035.29"
"21231","035.02.2.5.7.69","37","035.02.2.5.7","442","Mackerels nei, salted or in brine","Caballas nep, saladas o en salmuera","Maquereaux nca, salés ou en saumure","true","035.29"
"21224","035.02.3.5.8.70","38","035.02.3.5.8","443","Sharks, fillets, dried, salted or in brine","Tiburones, filetes, secos, salados o en salmuera","Requins, filets, séchés, salés ou en saumure","true","035.13"
"21231","035.02.2.5.4.91","34","035.02.2.5.4","444","Groundfish nei, salted or in brine","Pescado de fondo nep, salado o en salmuera","Poissons de fond nca, salés ou en saumure","true","035.29"
"21231","035.02.2.6.90","39","035.02.2.6","445","Fish nei, salted or in brine","Pescado nep, salado o en salmuera","Poisson nca, salé ou en saumure","true","035.29"
"21224","035.02.3.5.9.99","39","035.02.3.5.9","448","Marine fish, fillets, dried, salted or in brine, nei","Peces marinos diversos, filetes, secos, salados o en salmuera, nep","Poissons marins divers, filets, séchés, salés ou en saumure, nca","true","035.13"
"21227","035.02.3.9.1.10","39","035.02.3.9.1","449","Fish livers, dried, salted or in brine","Hígados de pescado, secos, salados o en salmuera","Foies de poisson, séchés, salés ou en saumure","true","035.4"
"21227","035.02.3.9.1.29","39","035.02.3.9.1","450","Fish roes, dried, salted or in brine, nei","Huevas de pescado, secas, saladas o en salmuera, nep","Rogues de poisson, séchées, salées ou en saumure, nca","true","035.4"
"21234","035.02.3.9.2.32","38","035.02.3.9.2","451","Shark fins, smoked, dried, whether or not salted, etc.","Aletas de tiburón, ahumadas, secas, incluso saladas, etc.","Ailerons de requin, fumés, séchés, même salés, etc.","true","035.13"
"21227","035.02.3.9.1.90","39","035.02.3.9.1","452","Livers, roes, milt, dried, salted or in brine, nei","Hígados, huevas, lechas, ahumados, secos, salados o en salmuera, nep","Foies, rogues, laitance, fumés. séchés, salés ou en saumure, nca","true","035.4"
"21232","035.03.4.2.10","22","035.03.4.2","453","Eels, smoked","Anguilas, ahumadas","Anguilles, fumées","true","035.3"
"21232","035.03.4.3.39","23","035.03.4.3","454","Salmons, smoked","Salmón, ahumado","Saumons, fumés","true","035.3"
"21232","035.03.4.5.90","25","035.03.4.5","455","Diadromous fish, nei, smoked","Peces diádromos, nep, ahumados","Poissons diadromes, nca, fumés","true","035.3"
"21232","035.03.5.1.11","31","035.03.5.1","456","Atlantic halibut, smoked","Halibut del Atlántico, ahumado","Flétan de l'Atlantique, fumé","true","035.3"
"21232","035.03.5.1.13","31","035.03.5.1","457","Greenland halibut, smoked","Halibut negro, ahumado","Flétan noir, fumé","true","035.3"
"21232","035.03.5.2.19","32","035.03.5.2","458","Cods, smoked","Bacalaos, ahumados","Morues, fumées","true","035.3"
"21232","035.03.5.2.30","32","035.03.5.2","459","Haddock, smoked","Eglefino, ahumado","Eglefin, fumé","true","035.3"
"21232","035.03.5.5.11","35","035.03.5.5","460","Atlantic herring, smoked","Arenque del Atlántico, ahumado","Hareng de l'Atlantique, fumé","true","035.3"
"21232","035.03.5.5.19","35","035.03.5.5","461","Herrings nei, smoked","Arenques nep, ahumados","Harengs nca, fumés","true","035.3"
"21232","035.03.5.5.50","35","035.03.5.5","462","Sardines and sprats, smoked","Sardinas y espadines, ahumados","Sardines et sprats, fumés","true","035.3"
"21232","035.03.5.6.20","36","035.03.5.6","463","Skipjack tuna, smoked","Listado, ahumado","Listao, fumé","true","035.3"
"21232","035.03.5.6.90","36","035.03.5.6","464","Tunas nei, smoked","Atunes nep, ahumados","Thons nca, fumés","true","035.3"
"21232","035.03.5.7.69","37","035.03.5.7","465","Mackerels, smoked","Caballas, ahumadas","Maquereaux, fumés","true","035.3"
"21232","035.03.5.9.90","39","035.03.5.9","466","Marine fish fillets, smoked","Peces marinos en filetes, ahumados","Filets de poisson marin, fumés","true","035.3"
"21232","035.03.5.9.95","39","035.03.5.9","467","Marine fish nei, smoked","Peces marinos, nep, ahumados","Poisson marin, nca, fumé","true","035.3"
"21227","035.03.9.1.90","39","035.03.9.1","468","Livers and roes, smoked","Hígados y huevas, ahumados","Foies et rogues, fumés","true","035.4"
"","036.0","","03","469","Crustaceans, molluscs, aq. inver, live,fresh,chilled,frozen, salted, in brine or dried, smoked","Crustáceos,mol.,inv.aq, vivos/frescos/refrigerados/congelados/salados, en salmuera o secos/ahum","Crustacés, moll., inv.aq, vivants, frais/réfrigérés/congelés/salés,en saumure ou séchés/fumés","false",""
"","036.0.1","","036.0","470","Crustaceans, live, fresh, chilled, frozen, salted, in brine or dried, smoked","Crustáceos, vivos, frescos, congelados, salados, en salmuera o secos, ahumados","Crustacés vivants, frais, congelés, salés, en saumure ou séchés, fumés","false",""
"","036.0.1.1","","036.0.1","471","Crustaceans live, not for human consumption","Crustáceos vivos no destinados al consumo humano","Crustacés vivants, non destinés à la consommation humaine","false",""
"","036.0.1.3","","036.0.1","473","Crustaceans live, fresh, chilled or boiled in water","Crustáceos vivos, frescos, refrigerados o cocidos en agua","Crustacés vivants, frais, réfrigérés ou cuits à l'eau","false",""
"","036.0.1.1.1","","036.0.1.1","474","Miscellaneous crustaceans live, not for human consumption","Crustáceos diversos, vivos, no destinados al consumo humano","Crustacés divers, vivants, non destinés à la consommation humaine","false",""
"","036.0.1.3.1","","036.0.1.3","476","Freshwater crustaceans, live, fresh or chilled","Crustáceos de agua dulce vivos, frescos o refrigerados","Crustacés d'eau douce vivants, frais ou réfrigérés","false",""
"","036.0.1.3.2","","036.0.1.3","477","Crabs, live, fresh or chilled","Cangrejos, vivos, frescos o refrigerados","Crabes, vivants, frais ou réfrigérés","false",""
"","036.0.1.3.3","","036.0.1.3","478","Lobsters, spiny-rock lobsters, etc., live, fresh or chilled","Bogavantes,  langostas, etc., vivos, frescos o refrigerados","Homards, vivants, langoustes, etc., frais ou réfrigérés","false",""
"","036.0.1.3.4","","036.0.1.3","479","Squat-lobsters, etc., fresh or chilled","Galateas, etc., frescas o refrigeradas","Galatées, etc., fraîches ou réfrigérées","false",""
"","036.0.1.3.5","","036.0.1.3","480","Shrimps, prawns, etc., live, fresh or chilled","Gambas, camarones, etc., frescos o refrigerados","Crevettes, etc., fraîches ou réfrigérées","false",""
"","036.0.1.3.9","","036.0.1.3","481","Miscellaneous marine crustaceans, live, fresh or chilled","Crustáceos marinos diversos, vivos, frescos o refrigerados","Crustacés marins divers, vivants, frais ou réfrigérés","false",""
"439","036.0.1.3.1.10","41","036.0.1.3.1","485","Crayfish (freshwater), live, fresh or chilled","Cangrejos de río, vivos, frescos o refrigerados","Écrevisses, vivantes, fraîches ou réfrigérées","true","036.2"
"439","036.0.1.3.1.90","41","036.0.1.3.1","486","Freshwater crustaceans nei, live, fresh or chilled","Crustáceos de agua dulce nep, vivos, frescos o refrigerados","Crustacés d'eau douce nca, vivants, frais ou réfrigérés","true","036.2"
"431","036.0.1.3.2.90","42","036.0.1.3.2","487","Crabs, peeled or not, live, fresh or chilled, nei","Cangrejos, pelados o no, frescos o refrigerados, nep","Crabes, décortiqués ou non, frais ou réfrigérés, nca","true","036.2"
"432","036.0.1.3.3.11","43","036.0.1.3.3","488","Spiny lobsters (Panulirus spp.), whole, fresh or chilled","Langostas (Panulirus spp.), enteras, frescas o refrigeradas","Langoustes (Panulirus spp.), entières, fraîches ou réfrigérées","true","036.2"
"432","036.0.1.3.3.12","43","036.0.1.3.3","489","Spiny lobsters (Panulirus spp.), meat or tails, fresh or chilled","Colas o carne de langosta (Panulirus spp.), frescas o refrigeradas","Chair ou queues de langouste (Panulirus spp.), fraîches ou réfrigérées","true","036.2"
"432","036.0.1.3.3.21","43","036.0.1.3.3","490","Rock lobsters (Jasus spp.), whole, fresh or chilled","Langostas (Jasus spp.), enteras, frescas o refrigeradas","Langoustes (Jasus spp.), entières, fraîches ou réfrigérées","true","036.2"
"432","036.0.1.3.3.22","43","036.0.1.3.3","491","Rock lobsters (Jasus spp.), meat or tails, fresh or chilled","Colas o carne de langosta (Jasus spp.), frescas o refrigeradas","Chair ou queues de langouste (Jasus spp.), fraîches ou réfrigérées","true","036.2"
"439","036.0.1.3.3.91","43","036.0.1.3.3","492","Lobsters nei, whole, fresh or chilled","Bogavantes nep, enteros, frescos o refrigerados","Homards nca, entiers, frais ou réfrigérés","true","036.2"
"434","036.0.1.3.3.31","43","036.0.1.3.3","493","Norway lobsters (Nephrops spp.), whole, fresh or chilled","Cigalas (Nephrops spp.), enteras, frescas o refrigeradas","Langoustines (Nephrops spp.), entières, fraîches ou réfrigérées","true","036.2"
"435","036.0.1.3.5.20","45","036.0.1.3.5","494","Cold-water shrimps and prawns Pandalus spp, in shell or not, live, fresh or chilled","Camarones y langostinos y demás decápodos Natantia, de agua fría Pandalus spp., incluso pelados, vivos, frescos, refrigerados","Crevettes d’eau froide Pandalus spp., décortiquées, vivantes, fraîches, réfrigérées","true","036.2"
"435","036.0.1.3.5.30","45","036.0.1.3.5","495","Shrimps Crangon crangon, in shell or not, live, fresh or chilled","Camarones de la especie Crangon crangon, incluso pelados, vivos, frescos, refrigerados","Crevettes du genre Crangon crangon, décortiquées, vivantes, fraîches, réfrigérées","true","036.2"
"436","036.0.1.3.5.99","45","036.0.1.3.5","496","Shrimps and prawns, live, fresh or chilled, nei","Camarones, vivos, frescos o refrigerados, nep","Crevettes, vivantes, fraîches ou réfrigérées, nca","true","036.2"
"436","036.0.1.3.5.91","45","036.0.1.3.5","497","Shrimp tails, fresh or chilled","Colas de camarones, frescas o refrigeradas","Queues de crevettes, fraîches ou réfrigérées","true","036.2"
"439","036.0.1.3.9.90","47","036.0.1.3.9","498","Crustaceans, live, fresh, chilled or boiled in water, nei","Crustáceos, vivos, frescos, refrigerados o cocidos en agua, nep","Crustacés vivants, frais, réfrigérés ou cuits à l'eau, nca","true","036.2"
"","036.0.1.4","","036.0.1","499","Crustaceans, frozen","Crustáceos, congelados","Crustacés, congelés","false",""
"","036.0.1.4.2","","036.0.1.4","500","Crabs and crab meat, frozen","Cangrejo y carne de cangrejo, congelados","Crabe et chair de crabe, congelés","false",""
"","036.0.1.4.3","","036.0.1.4","501","Lobsters and lobster meat, frozen","Bogavante y carne de bogavante, congelados","Homard et chair de homard, congelés","false",""
"","036.0.1.4.5","","036.0.1.4","502","Shrimps, prawns etc., frozen","Camarones, etc., congelados","Crevettes, etc., congelées","false",""
"21251","036.0.1.4.2.19","44","036.0.1.4.2","503","King crab, nei, frozen","Cangrejo ruso, nep, congelado","Crabe royal, nca, congelé","true","036.19"
"21251","036.0.1.4.2.11","44","036.0.1.4.2","504","King crab meat, frozen","Carne de cangrejo ruso, congelada","Chair de crabe royal, congelée","true","036.19"
"21251","036.0.1.4.2.29","42","036.0.1.4.2","505","Tanner crab, nei, frozen","Cangrejo de las nieves, nep, congelado","Crabe des neiges, nca, congelé","true","036.19"
"21251","036.0.1.4.2.21","42","036.0.1.4.2","506","Tanner crab meat, frozen","Carne de cangrejo de las nieves, congelada","Chair de crabe des neiges, congelée","true","036.19"
"21251","036.0.1.4.2.22","42","036.0.1.4.2","507","Tanner crab sections, frozen","Pedazos de cangrejo de las nieves, congelados","Morceaux de crabe des neiges, congelés","true","036.19"
"21251","036.0.1.4.2.99","42","036.0.1.4.2","508","Crabs nei, frozen","Cangrejos nep, congelados","Crabes nca, congelés","true","036.19"
"21251","036.0.1.4.2.91","42","036.0.1.4.2","509","Crab meat, frozen","Carne de cangrejo, congelada","Chair de crabe, congelée","true","036.19"
"21252","036.0.1.4.3.11","43","036.0.1.4.3","510","Spiny lobsters (Panulirus spp.), whole, frozen","Langostas (Panulirus spp.), enteras, congeladas","Langoustes (Panulirus spp.), entières, congelées","true","036.19"
"21252","036.0.1.4.3.12","43","036.0.1.4.3","511","Spiny lobsters (Panulirus spp.), meat or tails, frozen","Colas o carne de langosta (Panulirus spp.), congeladas","Chair ou queues de langouste (Panulirus spp.), congelées","true","036.19"
"21252","036.0.1.4.3.21","43","036.0.1.4.3","512","Rock lobsters (Jasus spp.), whole, frozen","Langostas (Jasus spp.), enteras, congeladas","Langoustes (Jasus spp.), entières, congelées","true","036.19"
"21252","036.0.1.4.3.22","43","036.0.1.4.3","513","Rock lobsters (Jasus spp.), meat or tails, frozen","Colas o carne de langosta (Jasus spp.), congeladas","Chair ou queues de langouste (Jasus spp.), congelées","true","036.19"
"21253","036.0.1.4.3.91","43","036.0.1.4.3","514","Lobsters nei, whole, frozen","Bogavantes nep, enteros, congelados","Homards nca, entiers, congelés","true","036.19"
"21256","036.0.1.4.5.99","45","036.0.1.4.5","515","Shrimps and prawns, frozen, nei","Camarones, congelados, nep","Crevettes, congelées, nca","true","036.11"
"21256","036.0.1.4.5.91","45","036.0.1.4.5","516","Shrimps and prawns, not cooked, frozen","Camarones, no cocidos, congelados","Crevettes, non cuites, congelées","true","036.11"
"21256","036.0.1.4.5.92","45","036.0.1.4.5","517","Shrimps and prawns, cooked, frozen","Camarones, cocidos, congelados","Crevettes, cuites, congelées","true","036.11"
"21256","036.0.1.4.5.93","45","036.0.1.4.5","518","Shrimps and prawns, tails, shell on, frozen","Colas de camarones sin pelar, congeladas","Queues de crevettes non décortiquées, congelées","true","036.11"
"21256","036.0.1.4.5.94","45","036.0.1.4.5","519","Shrimps and prawns, peeled, frozen","Camarones pelados, congelados","Crevettes décortiquées, congelées","true","036.11"
"21256","036.0.1.4.5.95","45","036.0.1.4.5","520","Shrimps and prawns peeled, deveined, breaded, frozen","Camarones pelados, sín intestino, empanados, congelados","Crevettes décortiquées, deveinées, panées, congelées","true","036.11"
"21256","036.0.1.4.5.96","45","036.0.1.4.5","521","Shrimps and prawns, fan tails, frozen","Camarones, colas en abanico, congelados","Queues éventails de crevettes, congelées","true","036.11"
"","036.0.1.5","","036.0.1","522","Crustaceans, dried, salted or in brine, smoked","Crustáceos secos, salados o en salmuera, ahumados","Crustacés séchés, salés ou en saumure, fumés","false",""
"","036.0.2.1","","036.0.2","523","Molluscs live, not for human consumption","Moluscos vivos, no destinado al consumo humano","Mollusques vivants, non destinés à la consommation humaine","false",""
"","036.0.2.3","","036.0.2","525","Molluscs, live, fresh or chilled","Moluscos, vivos, frescos o refrigerados","Mollusques, vivants, frais ou réfrigérés","false",""
"","036.0.1.4.6","","036.0.1.4","526","Krill, frozen","Krill, congelado","Krill, congelé","false",""
"","036.0.1.4.9","","036.0.1.4","527","Miscellaneous marine crustaceans, frozen","Crustáceos marinos diversos, congelados","Crustacés marins divers, congelés","false",""
"","036.0.1.5.2","","036.0.1.5","528","Crabs, dried, salted or in brine, smoked","Cangrejos, secos, salados o en salmuera, ahumados","Crabes, séchés, salés ou en saumure, fumés","false",""
"","036.0.1.5.5","","036.0.1.5","529","Shrimps, prawns, etc., dried, salted or in brine, smoked","Camarones, etc., secos, salados o en salmuera, ahumados","Crevettes, etc. séchées, salées ou en saumure, fumées","false",""
"","036.0.1.5.9","","036.0.1.5","530","Miscellaneous crustaceans, dried, salted or in brine, smoked","Crustáceos diversos, secos, salados o en salmuera, ahumados","Crustacés divers, séchés, salés ou en saumure, fumés","false",""
"","036.0.2.1.9","","036.0.2.1","531","Miscellaneous molluscs live, not for human consumption","Moluscos vivos diversos, no destinados al consumo humano","Mollusques vivants divers, non destinés à la consommation humaine","false",""
"","036.0.2.3.2","","036.0.2.3","533","Univalves, live, fresh or chilled","Moluscos univalvos, vivos, frescos o refrigerados","Univalves, vivants, frais ou réfrigérés","false",""
"","036.0.2.3.3","","036.0.2.3","534","Oysters, live, fresh or chilled","Ostras, vivas frescas o refrigeradas","Huîtres, vivantes fraîches ou réfrigérées","false",""
