"Code","Scientific_Name","Description_en","Description_fr","Description_es"
"CSY","Synodontis spp","Upsidedown catfishes","",""
"CSZ","Apristurus kampae","Longnose catshark","Holbiche tapir","Pejegato trompudo"
"CTA","Cheilodactylus bergi","Castaneta","Castanette pontude","Castañeta"
"CTB","Diplodus vulgaris","Common two-banded seabream","Sar à tête noire","Sargo mojarra"
"CTC","Sepia officinalis","Common cuttlefish","Seiche commune","Sepia común"
"CTD","Mustelus dorsalis","Sharptooth smooth-hound","Émissole blanche","Musola blanca"
"CTE","Mustelus griseus","Spotless smooth-hound","Émissole côtière","Musola gris"
"CTF","Mustelus fasciatus","Striped smooth-hound","Émissole rayée","Mustola listada"
"CTG","Ruditapes decussatus","Grooved carpet shell","Palourde croisée d'Europe","Almeja fina"
"CTH","Catharacta chilensis","Chilean skua","Labbe du Chili","Págalo chileno"
"CTI","Mustelus canis","Dusky smooth-hound","Émissole douce","Boca dulce"
"CTJ","Mustelus higmani","Smalleye smooth-hound","Émissole ti-yeux","Musola amarilla"
"CTK","Mustelus henlei","Brown smooth-hound","Émissole brune","Musola parda"
"CTL","Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei","Seiches, sépioles nca","Sepias,choquitos,globitos nep"
"CTM","Catostomidae","Suckers nei","Cyprins sucets nca","Chupadores nep"
"CTN","Mustelus californicus","Grey smooth-hound","Émissole grise","Musola gris de California"
"CTO","Clarias spp","Torpedo-shaped catfishes nei","",""
"CTP","Cetopsis chalmersi","","",""
"CTQ","Cryptopsaras couesii","Triplewart seadevil","",""
"CTR","Sepiola rondeleti","Dwarf bobtail squid","Sépiole naine","Sepiola enana"
"CTS","Venerupis pullastra","Pullet carpet shell","Palourde bleue","Almeja babosa"
"CTT","Catla catla","Catla","",""
"CTU","Mustelus antarcticus","Gummy shark","Émissole gommée","Musola austral"
"CTV","Chaetostoma sovichthys","","",""
"CTW","Cheroscorpaena tridactyla","","",""
"CTX","Chilatherina axelrodi","Axelrod's rainbowfish","",""
"CTY","Curimatopsis crypticus","","",""
"CTZ","Chelidonichthys lastoviza","Streaked gurnard","",""
"CUA","Alosa alabamae","Alabama shad","Alose de l'Alabama","Sábalo de Alabama"
"CUB","Genypterus maculatus","Black cusk-eel","Abadèche noir","Congribadejo negro"
"CUC","Genypterus chilensis","Red cusk-eel","Abadèche rouge","Congribadejo colorado"
"CUD","Chauliodus danae","Dana viperfish","",""
"CUE","Alosa kessleri","Caspian anadromous shad","",""
"CUF","Chlorophthalmus acutifrons","","",""
"CUG","Caecobarbus geertsii","Congo blind barb","",""
"CUH","Alosa sphaerocephala","Agrakhan shad","",""
"CUI","Alosa caspia","Caspian shad","Alose de la mer Caspienne","Sábalo del Mar Caspio"
"CUJ","Apostichopus japonicus","Japanese sea cucumber","Bèche-de-mer japonaise","Cohombro de mar japonés"
"CUK","Alosa brashnikovi","Caspian marine shad","",""
"CUL","Uroconger lepturus","Slender conger","",""
"CUM","Cynothrissa mento","Nigerian fangtooth pellonuline","",""
"CUN","Tautogolabrus adspersus","Cunner","Tanche-tautogue",""
"CUO","Clupeoides borneensis","Borneo River sprat","",""
"CUP","Cubiceps spp","","",""
"CUQ","Centriscops humerosus","Banded yellowfish","",""
"CUR","Clupeichthys aesarnensis","Thai river sprat","",""
"CUS","Genypterus blacodes","Pink cusk-eel","Abadèche rosé","Congribadejo rosado"
"CUT","Trichiuridae","Hairtails, scabbardfishes nei","Poissons-sabres, sabres nca","Peces sable, cintos nep"
"CUU","Curimata cyprinoides","","",""
"CUV","Alosa saposhnikovi","Saposhnikovi shad","",""
"CUW","Centriscus cristatus","Smooth razorfish","",""
"CUX","Holothuroidea","Sea cucumbers nei","Bèches-de-mer nca","Cohombros de mar nep"
"CUY","Cynothrissa ansorgii","Ansorge fangtooth pellonuline","",""
"CUZ","Culaea inconstans","Brook stickleback","",""
"CVA","Cottus amblystomopsis","Sakhalin sculpin","",""
"CVB","Chionoecetes bairdi","Tanner crab","",""
"CVC","Caudiverbera caudiverbera","Chilean frog","",""
"CVD","Cidaridae","Pencil urchins","",""
"CVE","Sciades couma","Couma sea catfish","Mâchoiron couma","Bagre Cuma"
"CVF","Tautogolabrus brandaonis","","",""
"CVG","Careproctus georgianus","","",""
"CVH","Careproctus catherinae","","",""
"CVI","Cebidichthys violaceus","Monkeyface prickleback","",""
"CVJ","Caranx hippos","Crevalle jack","Carangue crevalle","Jurel común"
"CVK","Cephalopholis boenak","Chocolate hind","Vielle chocolat","Cherna chocolate"
"CVL","Sclerocrangon spp","Sculptured shrimps nei","Crevettes sculptées nca","Camarones esculpidos nep"
"CVM","Cocotropus masudai","","",""
"CVN","Chiasmodon niger","Black swallower","",""
"CVO","Clevelandia ios","Arrow goby","",""
"CVP","Cottunculus microps","Polar sculpin","",""
"CVQ","Sciades passany","Passany sea catfish","Mâchoiron passany","Bagre chato"
"CVR","Careproctus polarsterni","","",""
"CVS","Chauliodus schmidti","","",""
"CVT","Sepia hierredda","Giant African cuttlefish","Seiche géante africaine","Sepia gigante africana"
"CVU","Clupeichthys goniognathus","Sumatran river sprat","",""
"CVV","Larus ridibundus","Common black-headed gull","Mouette rieuse","Gaviota reidora"
"CVW","Chlorophthalmus agassizi","Shortnose greeneye","Eperlan du large","Ojiverde"
"CVX","Carcharhiniformes","Ground sharks","",""
"CVY","Coryphaenoides spp","Grenadiers, whiptails nei","",""
"CVZ","Cyprinodon alvarezi","Potosi pupfish","",""
"CWA","Clupeonella spp","Black-Caspian Sea sprats nei","Clupeonelle nca","Espadínos Mar Negro-Caspio nep"
"CWB","Centroberyx lineatus","Swallow-tail","",""
"CWC","Crenidens crenidens","Karanteen seabream","Saupe de mer Rouge","Salema del Mar Rojo"
"CWD","Crinoidea","Feather stars and sea lilies","Crinoïdes","Crinoideos"
"CWE","Cancer edwardsii","Mola rock crab","Tourteau mola","Jaiba marmola"
"CWG","Carassius gibelio","Prussian carp","",""
"CWH","Cantherhines sandwichiensis","Sandwich isle file","",""
"CWI","Cephalopholis igarashiensis","Garish hind","Vieille voyant","Cherna chillona"
"CWJ","Chionoecetes japonicus","Red snow crab","",""
"CWK","Cottocomephorus grewingkii","Baikal yellowfin","",""
"CWL","Careproctus pseudoprofundicola","","",""
"CWM","Chimaera spp","","",""
"CWN","Caristius spp","Manefishes nei","",""
"CWO","Centrophorus spp","Gulper sharks nei","Squales-chagrins nca","Quelvachos nep"
"CWQ","Careproctus ampliceps","","",""
"CWR","Cephalopholis spiloparaea","Strawberry hind","Vieille fraise","Cherna frutillera"
"CWS","Careproctus spp","","",""
"CWT","Cetomimidae","","",""
"CWU","Cephalopholis urodeta","Darkfin hind","Vieille aile noire","Cherna alinegra"
"CWV","Careproctus vladibeckeri","","",""
"CWX","Coelorinchus spp","","",""
"CWY","Chrysaora hysoscella","","",""
"CWZ","Carcharhinus spp","Carcharhinus sharks nei","Requins Carcharhinus nca","Cazones Carcharhinus nep"
"CXA","Carlastyanax aurocaudatus","","",""
"CXB","Xenomystax bidentatus","","",""
"CXC","Charax condei","","",""
"CXD","Cyphocharax abramoides","","",""
"CXE","Chaunax abei","","",""
"CXF","Centroberyx affinis","Redfish","Béryx australien",""
"CXG","Neolebias gossei","","",""
"CXH","Congopanchax brichardi","","",""
"CXI","Calamopteryx goslinei","Longarm brotula","",""
"CXJ","Cherax albidus","","",""
"CXK","Cynopanchax bukobanus","","",""
"CXL","Cataetyx alleni","","",""
"CXM","Careproctus melanurus","Blacktail snailfish","",""
"CXN","Chalixodytes chameleontoculis","Sand dart","",""
"CXO","Clupeocharax schoutedeni","","",""
"CXP","Cynoponticus coniceps","Red pike conger","Morénesoce bio-bio","Morenocio bío-bío"
"CXQ","Cirrhilabrus exquisitus","Exquisite wrasse","",""
"CXR","Caranx ruber","Bar jack","Carangue comade","Cojinúa carbonera"
"CXS","Caranx sexfasciatus","Bigeye trevally","Carangue vorace","Jurel voráz"
"CXT","Caranx bucculentus","Bluespotted trevally","",""
"CXU","Chirophryne xenolophus","","",""
"CXW","Careproctus inflexidens","","",""
"CXY","Cymbium spp","Volutes nei","Volutes nca","Volutas nep"
"CXZ","Centroberyx gerrardi","Bight redfish","",""
"CYA","Hydrolagus affinis","Smalleyed rabbitfish","","Quimera ojo chico"
"CYB","Hydrolagus barbouri","","",""
"CYC","Cycloteuthidae","Disc-fin squids nei","Discoloutènes nca","Discolurias nep"
"CYD","Hydrolagus deani","Philippine chimaera","",""
"CYE","Cyclichthys spilostylus","Spotbase burrfish","",""
"CYF","Hydrolagus africanus","African chimaera","",""
"CYG","Centroscyllium granulatum","Granular dogfish","Aiguillat râpe","Tollo negro raspa"
"CYH","Hydrolagus mirabilis","Large-eyed rabbitfish","","Quimera ojón"
"CYI","Hydrolagus eidolon","","",""
"CYJ","Hydrolagus ogilbyi","","",""
"CYK","Centroscyllium kamoharai","Bareskin dogfish","Aiguillat lisse","Tollo negro liso"
"CYL","Hydrolagus alberti","","",""
"CYM","Cymatoceps nasutus","Black musselcracker","Spare nasique","Sargo narigón"
"CYN","Centroscyllium nigrum","Combtooth dogfish","Aiguillat peigne","Tollo negro peine"
"CYO","Centroscymnus coelolepis","Portuguese dogfish","Pailona commun","Pailona"
"CYP","Centroscymnus crepidater","Longnose velvet dogfish","Pailona à long nez","Sapata negra"
"CYR","Centroscyllium ritteri","Whitefin dogfish","Aiguillat à nageoires blanches","Tollo negro aliblanco"
"CYS","Hydrolagus lemures","Blackfin ghostshark","",""
"CYT","Centroscyllium ornatum","Ornate dogfish","Aiguillat élégant","Tollo negro elegante"
"CYU","Centroscymnus plunketi","Plunket shark","Pailona austral","Pailona austral"
"CYV","Hydrolagus novaezealandiae","Dark ghost shark","",""
"CYW","Centroscymnus owstoni","Roughskin dogfish","Pailona rapeux","Sapata lija"
"CYX","Hydrolagus mitsukurii","","",""
"CYY","Centroscymnus cryptacanthus","Shortnose velvet dogfish","Pailona sans épine","Pailona ñata"
"CYZ","Hydrolagus pallidus","","",""
"CZA","Coralliozetus angelica","Angel blenny","",""
"CZC","Careproctus continentalis","","",""
"CZD","Cymbula nigra","","",""
"CZE","Calonectris edwardsii","Cape Verde shearwater","Puffin du Cap-Vert","Pardela cenicienta de Edwards"
"CZF","Coryphaenoides ferrieri","","",""
"CZG","Clarias nieuhofii","","",""
"CZH","Chorus giganteus","","",""
"CZI","Centroscymnus spp","","",""
"CZJ","Cervimunida johni","Blue squat lobster","Galathée bleue","Langostino amarillo"
"CZK","Cottus czerskii","Cherskii's sculpin","",""
"CZL","Coryphaenoides lecointei","","",""
"CZM","Paguridae","Right-handed hermit crabs nei","",""
"CZN","Radicipes gracilis","","",""
"CZP","Callianassa spp","Ghost shrimps nei","Machottes nca","Topos de mar nep"
"CZQ","Ceratozona squalida","Eastern surf chiton","",""
"CZS","Chelidonichthys spinosus","Spiny red gurnard","",""
"CZT","Canthidermis sufflamen","Ocean triggerfish","","Sobaco lija"
"CZU","Cephalopholis nigripinnis","Duskyfin hind","Vieille coq",""
"CZW","Carcinus spp","Carcinus crabs nei","Crabes verts nca","Cangrejos verdes nep"
"CZX","Caridina spp","Caridina shrimps nei","Saltarelles nca","Caridinas nep"
"CZY","Crystallichthys cyclospilus","Blotched snailfish","",""
"DAA","Dascyllus albisella","Hawaiian dascyllus","",""
"DAB","Limanda limanda","Common dab","Limande","Lenguadina"
"DAC","Daption capense","Cape petrel","Damier du Cap","Petrel darnero"
"DAD","Danio dangila","","",""
"DAE","Danio aequipinnatus","Giant danio","",""
"DAF","Danio frankei","Leopard danio","",""
"DAG","Stolothrissa, Limnothrissa spp","Dagaas (=Kapenta)","Dagaas (=Kapenta)","Dagaas (=Kapenta)"
"DAH","Dacodraco hunteri","","",""
"DAI","Danio rerio","Zebra danio","",""
"DAJ","Dadyanos insignis","","",""
"DAK","Dagetichthys lakdoensis","","",""
"DAL","Calliostoma turnerarum","","",""
"DAM","Diomedea amsterdamensis","Amsterdam Island albatross","Albatros de l'île d'Amsterdam","Albatros de la isla Amsterdam"
"DAO","Dactyloscopus crossotus","Bigeye stargazer","",""
"DAP","Dallia pectoralis","Alaska blackfish","",""
"DAQ","Phoebastria albatrus","Short-tailed albatross","Albatros à queue courte","Albatros rabón"
"DAR","Chrysoblephus cristiceps","Daggerhead seabream","Spare poignard","Sargo puñal"
"DAS","Clupanodon thrissa","Chinese gizzard shad","Alose à museau court","Alosa chata"
"DAT","Danionella translucida","","",""
"DAU","Dascyllus aruanus","Whitetail dascyllus","",""
"DAV","Danio devario","Sind danio","",""
"DAW","Crepipatella orbiculata","Round slippersnail","",""
"DAX","Crepipatella spp","","",""
"DAY","Dactylopus dactylopus","Fingered dragonet","",""
"DAZ","Hydrobates pelagicus","European storm-petrel","Océanite tempête","Paíño europeo"
"DBA","Dibranchus atlanticus","","",""
"DBB","Pseudolabrus biserialis","","",""
"DBC","Caenopedina novaezealandiae","Banded-spine urchin","",""
"DBD","Cuenotaster involutus","","",""
"DBE","Bolinichthys photothorax","Spurcheek lanternfish","",""
"DBF","Bolinichthys supralateralis","Stubby lanternfish","",""
"DBG","Drombus globiceps","","",""
"DBH","Centrobranchus nigroocellatus","Roundnose lanternfish","",""
"DBI","Cepola pauciradiata","","",""
"DBJ","Doryichthys boaja","","",""
"DBK","Oceanodroma leucorhoa","Leach's storm-petrel","Océanite culblanc","Paíño boreal"
"DBL","Bathophilus brevis","","",""
"DBM","Grammatorcynus bilineatus","Double-lined mackerel","Thazard-kusara","Carite-cazón pintado"
"DBN","Diomedea dabbenena","Tristan albatross","Albatros de Tristan","Albatros de Tristán"
"DBO","Tursiops truncatus","Bottlenose dolphin","Grand dauphin","Tursion"
"DBP","Bathophilus pawneei","Pawnee dragonfish","",""
"DBQ","Ceramaster patagonicus","Pentagon star","",""
"DBR","Borostomias elucens","","",""
"DBS","Cantherhines dumerilii","Whitespotted filefish","Bourse à taches blanches","Cachúa blanca nieves"
"DBT","Cosmasterias dyscrita","Cat's-foot star","",""
"DBU","Dolabella auricularia","Shoulderblade sea cat","Dolabelle commune",""
"DBV","Dascyllus reticulatus","Reticulate dascyllus","",""
"DBW","Doryrhamphus baldwini","","",""
"DBY","Corythoichthys haematopterus","Messmate pipefish","",""
"DBZ","Tursiops aduncus","Indo-Pacif. bottlenose dolphin","Grand dauphin indo-pacifique","Delfín mular del Indo-Pacífico"
"DCA","Deania calcea","Birdbeak dogfish","Squale savate","Tollo pajarito"
"DCC","Decapterus macrosoma","Shortfin scad","Comète fine","Macarela alicorta"
"DCD","Decapterus muroadsi","Amberstripe scad","",""
"DCE","Dictyosoma burgeri","","",""
"DCF","Pseudocoris aurantiofasciatus","Rust-banded wrasse","",""
"DCG","Diancistrus longifilis","","",""
"DCI","Pseudocheilinops ataenia","Pelvic-spot wrasse","",""
"DCJ","Dascyllus trimaculatus","Threespot dascyllus","",""
"DCK","Decapterus kurroides","Redtail scad","Comète maouane","Macarela maouana"
"DCL","Stenella clymene","Clymene dolphin","Dauphin de Clyméné","Delfín clymene"
"DCM","Dolichallabes microphthalmus","","",""
"DCN","Decodon grandisquamis","Largescale wrasse","",""
"DCO","Delphinus delphis","Common dolphin","Dauphin commun","Delfín común"
"DCP","Natantia","Natantian decapods nei","Décapodes natantia nca","Decápodos natantia nep"
"DCQ","Doryrhamphus excisus","Bluestripe pipefish","",""
"DCR","Thalassarche chlororhynchos","Atlant. yellow-nosed albatross","Albatros à nez jaune","Albatros pico amarillo y negro"
"DCS","Distocambarus carlsoni","Mimic crayfish","",""
"DCT","Decapterus tabl","Roughear scad","Comète queue rouge","Macarela rabo colorado"
"DCU","Thalassarche cauta","Shy albatross","Albatros timide","Albatros frentiblanco"
"DCV","Pseudocheilinus evanidus","Striated wrasse","",""
"DCX","Clupeoidei","Diadromous clupeoids nei","Clupéoidés diadromes nca","Clupeoideos diádromos nep"
"DCY","Diapteron cyanostictum","Gabon jewelfish","",""
"DCZ","Delphinus capensis","Long-beaked common dolphin","Dauphin commun a bec large","Delfín común a pico largo"
"DDA","Abudefduf sordidus","Blackspot sergeant","",""
"DDB","Dendrochirus barberi","Hawaiian lionfish","",""
"DDC","Dondersia californica","Leaf-spiculed solenogaster","",""
"DDD","Abudefduf vaigiensis","Indo-Pacific sergeant","",""
"DDE","Cosmocampus retropinnis","","",""
"DDF","Dendostrea folium","Leaf oyster","Huître feuille",""
"DDG","Deltadoras guayoensis","","",""
"DDH","Alepocephalus productus","Smalleye smooth-head","",""
"DDI","Dendrochirus biocellatus","Twospot turkeyfish","",""
"DDJ","Aphanopus microphthalmus","Smalleye scabbardfish","Poisson sabre petits yeux","Sable ojito"
"DDK","Didogobius kochi","","",""
"DDL","Diodora listeri","Lister's keyhole limpet","Fissurelle de Lister","Lapa de Lister"
"DDM","Crossaster multispinus","Sun-star","",""
"DDN","Cosmocampus investigatoris","","",""
"DDO","Dendostrea frons","Frons oyster","",""
"DDP","Muraenesox bagio","Common pike conger","Morénésoce commun","Morenocio común"
"DDQ","Chlorophthalmus punctatus","Spotted greeneye","Éperlan du large tacheté","Ojiverde manchado"
"DDR","Chimaera notafricana","Cape chimaera","",""
"DDS","Diadema setosum","Porcupine sea urchin","",""
"DDT","Bangana yunnanensis","","",""
"DDU","Lagenorhynchus obscurus","Dusky dolphin","Dauphin sombre","Delfín obscuro"
"DDV","Bangana dero","Kalabans","",""
"DDX","Dendropoma maximum","Great worm shell","Grand vermet",""
"DDY","Dendrochirus brachypterus","Shortfin turkeyfish","",""
"DDZ","Dendrochirus zebra","Zebra turkeyfish","",""
"DEA","Dentex angolensis","Angolan dentex","Denté angolais","Dentón angoleño"
"DEB","Denariusa bandata","Pennyfish","",""
"DEC","Dentex dentex","Common dentex","Denté commun","Dentón"
"DED","Dermatolepis dermatolepis","Leather bass","Mérou cuir","Mero coriaceo"
"DEE","Derepodichthys alepidotus","Cuskpout","",""
"DEG","Dentalium agassizi","Stained tuskshell","",""
"DEI","Decatopecten amiculum","Cloak scallop","Pétoncle mantelet",""
"DEJ","Desmophyllum dianthus","","",""
"DEL","Dentex macrophthalmus","Large-eye dentex","Denté à gros yeux","Cachucho"
"DEM","Dentex maroccanus","Morocco dentex","Denté du Maroc","Sama marroquí"
"DEN","Dentex canariensis","Canary dentex","Denté à tache rouge","Chacarona de Canarias"
"DEP","Dentex gibbosus","Pink dentex","Gros denté rose","Sama de pluma"
"DEQ","Deltentosteus quadrimaculatus","Four-spotted goby","",""
"DER","Thalassarche eremita","Chatham Islands albatross","Albatros des Chatham","Albatros de Chatham"
"DES","Glossanodon semifasciatus","Deep-sea smelt","Argentina du Pacifique","Argentina del Pacífico"
"DET","Andersonia leptura","","",""
"DEU","Deltistes luxatus","Lost River sucker","",""
"DEV","Dermatolepis striolata","Smooth grouper","Mérou lisse","Mero liso"
"DEX","Dentex spp","Dentex nei","Dentés nca","Dentones, samas, etc. nep"
"DFA","Daphnia carinata","","",""
"DFB","Daphnia brooksi","","",""
"DFC","Daphnia cephalata","","",""
"DFD","Cerdale floridana","Pugjaw wormfish","",""
"DFE","Daphnia ephemeralis","","",""
"DFF","Duva florida","","",""
"DFG","Daphnia quadrangulus","","",""
"DFH","Daphnia chilensis","","",""
"DFI","Daphnia similoides","","",""
"DFJ","Daphnia jollyi","","",""
"DFK","Daphnia hispanica","","",""
"DFL","Daphnia lumholtzi","","",""
"DFM","Daphnia mediterranea","","",""
"DFN","Daphnia nivalis","","",""
"DFO","Daphnia occidentalis","","",""
"DFP","Daphnia pusilla","","",""
"DFQ","Daphnia queenslandensis","","",""
"DFR","Daphnia gessneri","","",""
"DFS","Daphnia similis","","",""
"DFT","Daphnia cristata","","",""
"DFU","Daphnia australis","","",""
"DFV","Daphnia curvirostris","","",""
"DFX","Diodora spp","","",""
"DFY","Dinophyceae","","",""
"DFZ","Synodus dermatogenys","Sand lizardfish","Anoli bigarré",""
"DGA","Diogenichthys atlanticus","","",""
"DGB","Paradiplogrammus bairdi","Lancer dragonet","",""
"DGC","Synodus macrops","Triplecross lizardfish","Anoli croix","Lagarto de cruces"
"DGG","Diplogrammus goramensis","","",""
"DGH","Squalidae, Scyliorhinidae","Dogfishes and hounds nei","Squales et émissoles nca","Galludos, tollos y musolas nep"
"DGM","Digenea simplex","Red seabroom","Plumet de Nerée","Hisopo de mar"
"DGP","Diagramma pictum","Painted sweetlips","Diagramme voilier","Burro velero"
"DGQ","Lepophidium negropinna","Specklefin cusk-eel","Congriperle tacheté","Congriperla pintada"
"DGS","Squalus acanthias","Picked dogfish","Aiguillat commun","Mielga"
"DGT","Diplogrammus pygmaeus","Pygmy dragonet","",""
"DGV","Acanthurus blochii","Ringtail surgeonfish","",""
"DGW","Acanthurus mata","Elongate surgeonfish","",""
"DGX","Squalidae","Dogfish sharks nei","Squales nca","Galludos, tollos, nep"
"DGY","Albula argentea","","",""
"DGZ","Squalus spp","Dogfishes nei","Aiguillats nca","Mielgas nep"
"DHA","Sousa teuszii","Atlantic hump-backed dolphin","Dauphin à bosse de l'Atlantiq.","Delfín jorobado del Atlántico"
"DHB","Himantura bleekeri","Bleeker's whipray","",""
"DHC","Himantura chaophraya","Freshwater whipray","",""
"DHD","Himantura draco","Dragon stingray","",""
"DHE","Himantura krempfi","","",""
"DHF","Himantura fai","Pink whipray","",""
"DHG","Himantura gerrardi","Sharpnose stingray","",""
"DHH","Himantura schmardae","Chupare stingray","",""
"DHI","Sousa chinensis","Indo-Pac. hump-backed dolphin","Dauphin à bosse indo-pacifique","Delfín jorobado del Pacífico"
"DHJ","Himantura jenkinsii","Jenkins whipray","",""
"DHK","Himantura alcockii","","",""
"DHL","Himantura undulata","Leopard whipray","",""
"DHM","Himantura imbricata","Scaly whipray","",""
"DHN","Himantura marginata","Blackedge whipray","",""
"DHO","Diodon holocanthus","Longspined porcupinefish","Porc-épic ballon","Pejerizo balón"
"DHP","Himantura pacifica","Pacific chupare","",""
"DHQ","Diplodus bellottii","Senegal seabream","Sparaillon africain","Raspallón senegalés"
"DHR","Himantura granulata","Mangrove whipray","",""
"DHS","Himantura signifer","White-rimmed stingray","",""
"DHT","Himantura toshi","Black-spotted whipray","",""
"DHU","Himantura fluviatilis","","",""
"DHV","Himantura uarnak","Honeycomb stingray","",""
"DHW","Himantura walga","Dwarf whipray","",""
"DHX","Himantura oxyrhynchus","Marbled whipray","",""
"DHY","Diplodus prayensis","Two-banded seabream","Sar à tête noire du Cap Vert",""
"DHZ","Dicologlossa hexophthalma","Ocellated wedge sole","Céteau ocellé","Acedía ocelada"
"DIA","Osteichthyes","Diadromous fishes nei","Poissons diadromes nca","Peces diádromos nep"
"DIB","Thalassarche bulleri","Buller's albatross","Albatros de Buller","Albatros de Buller"
"DIC","Thalassarche chrysostoma","Grey-headed albatross","Albatros à tête grise","Albatros de cabeza gris"
"DID","Dionda diaboli","Devils River minnow","",""
"DIE","Dionda episcopa","Roundnose minnow","",""
"DIF","Diapoma speculiferum","","",""
"DIG","Diplodus argenteus","South American silver porgy","","Sargo de América del Sur"
"DIH","Diplodus holbrooki","Spottail seabream","Sar cotonnier","Sargo cotonero"
"DII","Discherodontus ashmeadi","","",""
"DIJ","Diplodus fasciatus","Banded seabream","",""
"DIK","Dischistodus chrysopoecilus","White-spot damsel","",""
"DIL","Diptychus maculatus","Scaly osman","",""
"DIM","Thalassarche melanophrys","Black-browed albatross","Albatros à sourcils noirs","Albatros ceja negra"
"DIN","Diopatra neapolitana","","","Tubo"
"DIO","Diodontidae","Globefish, porcupine fish","Porcs-épics","Pejerizos, puercoespines"
"DIP","Diomedea epomophora","Southern royal albatross","Albatros royal","Albatros real"
"DIQ","Diomedea sanfordi","Northern royal albatross","Albatros royal du Nord","Albatros real del norte"
"DIR","Cardisoma hirtipes","Blue land crab","",""
"DIT","Distoechodon tumirostris","","",""
"DIU","Distichodus affinis","Silver distichodus","",""
"DIV","Disparichthys fluviatilis","","",""
"DIW","Diomedea gibsoni","Gibson's albatross","Albatros de Gibson","Albatros de Gibson"
"DIX","Diomedea exulans","Wandering albatross","Albatros hurleur","Albatros errante"
"DIY","Diodon hystrix","Spotted porcupinefish","Porc-épic boubou","Pejerizo común"
"DIZ","Phoebastria immutabilis","Laysan albatross","Albatros de Laysan","Albatros de Laysan"
"DJA","Davidijordania abei","","",""
"DJB","Modiolus barbatus","Bearded horse mussel","Modiole barbue","Barbudo"
"DJC","Donacilla cornea","Corneous wedge clam","Donacille cornée","Donacilla cornea"
"DJD","Modiolus adriaticus","Adriatic horse mussel","Modiole adriatique","Mocejoa"
"DJE","Modiolus eiseni","Offshore horse mussel","Modiole du large","Mejillón de profundidad"
"DJF","Modiolus philippinarum","Philippine horse mussel","Modiole de Philippines",""
"DJG","Diacanthurus rubricatus","","",""
"DJH","Modiolus rhomboideus","Rhomboid mussel","Modiole losangique","Mejillón romboidal"
"DJI","Modiolus americanus","Tulip mussel","Modiole tulipe","Mejillón tulipan"
"DJJ","Abudefduf taurus","Night sergeant","","Petaca toro"
"DJK","Modiolus kurilensis","Kurilean horse mussel","",""
"DJL","Cardisoma longipes","Longlegged land crab","",""
"DJM","Modiolus metcalfei","Yellowbanded horse mussel","Modiole à bande jaune",""
"DJN","Modiolus nitens","Shiny mussel","Modiole lisse","Mejillón liso"
"DJO","Modiolus modiolus","Northern horse mussel","",""
"DJP","Acentronura tentaculata","Shortpouch pygmy pipehorse","",""
"DJQ","Modiolus squamosus","False tulip mussel","Modiole écailleuse","Mejillón escamoso"
"DJR","Cardisoma rotundum","Rugose land crab","",""
"DJS","Acropoma japonicum","Glowbelly","Maconde lumineux","Farolito"
"DJU","Modiolus rectus","Straight horse mussel","Modiole droite","Mejillón gigante"
"DJV","Pseudojuloides atavai","Polynesian wrasse","",""
"DJX","Modiolus capax","Capax horse mussel","Modiole huaquille","Mejillón huaquilla"
"DKB","Dichelopandalus bonnieri","Whip shrimp","Crevette fouet","Camarón latiguillo"
"DKC","Tridacna crocea","Crocus giant clam","Bénitier crocus",""
"DKD","Decatopecten radula","Flatribbed scallop","Pétoncle râpé",""
"DKF","Danakilia franchettii","","",""
"DKI","Aythya fuligula","Tufted duck","Fuligule morillon","Porrón moñudo"
"DKJ","Aythya marila","Greater scaup","Fuligule milouinan","Porrón bastardo"
"DKK","Dermochelys coriacea","Leatherback turtle","Tortue luth","Tortuga laud"
"DKL","Himantura leoparda","","",""
"DKN","Phoebastria nigripes","Black-footed albatross","Albatros à pieds noirs","Albatros de patas negras"
"DKP","Diodon liturosus","Black-blotched porcupinefish","",""
"DKR","Dinocardium robustum","Giant atlantic cockle","",""
"DKS","Thalassarche salvini","Salvin's albatross","Albatros de Salvin","Albatros de Salvin"
"DKT","Bembrops greyi","Roundtail duckbill","Platête de Guinée","Pez palo guineano"
"DKU","Bembrops heterurus","Squaretail duckbill","Platête commun","Pez palo comun"
"DKV","Uroconger syringinus","Slender-tail conger","",""
"DKW","Panturichthys longus","Slender shortfaced eel","",""
"DKX","Tridacna maxima","Elongate giant clam","Bénitier allongé",""
"DKY","Panturichthys mauritanicus","Mauritanian shortfaced eel","",""
"DKZ","Dermechinus horridus","Deepsea urchin","",""
"DLA","Diplectrum pacificum","Inshore sand perch","",""
"DLB","Diploprion bifasciatum","Barred soapfish","",""
"DLC","Modiolus auriculatus","Eared horse mussel","Modiole auriculée",""
"DLD","Diplectrum radiale","Pond perch","",""
"DLE","Pythonichthys macrurus","Longtailed shortfaced eel","",""
"DLF","Dolichosudis fuliginosa","","",""
"DLG","Pogonophryne dolichobranchiata","","",""
"DLH","Pythonichthys microphthalmus","Shorttailed shortfaced eel","",""
"DLI","Enchelycore nigricans","Viper moray","Murène noire","Morena picopato negra"
"DLJ","Gymnothorax mareei","Spotjaw moray","Murène cobra","Morena boca manchada"
