ALPHA3CODE,FULL_NAME_E,FULL_NAME_F,FULL_NAME_S,SCIENTIFIC_NAME,AUTHOR
GWA,Goosander,Harle bièvre,Serreta grande,Mergus merganser,Linnaeus 1758
GWC,Red-breasted merganser,Harle huppé,Serreta mediana,Mergus serrator,Linnaeus 1758
WYC,Steller's eider,Eider de Steller,Eider menor,Polysticta stelleri,Pallas 1769
EGF,Common eider,Eider àduvet,Eider común,Somateria mollissima,Linnaeus 1758
HZW,Stumpy bobtail squid,,,Heteroteuthis weberi,Joubin 1902
HZS,,,,Heteroteuthis serventyi,Allan 1945
WRW,Web’s cuttlefish,Sépia de Web,Sepia de Web,Sepiella weberi,Adam 1939
WTO,Sotty cuttlefish,,,Sepiella ocellata,Pfeffer 1884
WUZ,Zanzibar cuttlefish,Seiche de Zanzibar,Sepia de Zanzibar,Sepia zanzibarica,Pfeffer 1884
WSW,Whitley’s cuttlefish,Seiche de Whitley,Sepia de Whitley,Sepia whitleyana,Iredale 1926
WSZ,Voss’ cuttlefish,Seiche de Voss,Sepia de Voss,Sepia vossi,Khromov 1996
WTV,Viet Nam cuttlefish,Seiche vietnamienne,Sepia vietnamita,Sepia vietnamica,Khromov 1987
WSU,Grooved cuttlefish,Seiche striée,Sepia estriada,Sepia sulcata,Hoyle 1885
WTF,Starry cuttlefish,Seiche étoilée,Sepia estrellada,Sepia stellifera,Homenko & Khromov 1984
WTY,Smith’s cuttlefish,Seiche de Smith,Sepia de Smith,Sepia smithi,Hoyle 1885
WTZ,Rosecone cuttlefish,Seiche au cône rosé,Sepia de cono rosado,Sepia rozella,Iredale 1926
WTR,Large striped cuttlefish,Grande seiche rayée,Sepia listada grande,Sepia ramani,Neethiselvan 2001
WTQ,Little cuttlefish,,,Sepia mira,(Cotton 1932)
WTK,Small striped cuttlefish,Petite seiche rayée,Sepia listada pequeña,Sepia prabahari,Neethiselvan & Venkataramani 2002
WTA,Striking cuttlefish,Seiche impressionnante,Sepia impresionante,Sepia plangon,Gray 1849
WSP,Papuan cuttlefish,Seiche de Papouasie,Sepia de Papua,Sepia papuensis,Hoyle 1885
WTH,Hedley’s cuttlefish,Seiche d’Hedley,Sepia de Hedley,Sepia hedleyi,Berry 1918
WTG,Ken’s cuttlefish,Seiche de Ken,Sepia de Ken,Sepia grahami,Reid 2001
WTE,Ovalbone cuttlefish,Seiche à sepion ovale,Sepia de sepión oval,Sepia elliptica,Hoyle 1885
WTC,Knifebone cuttlefish,Seiche à os en couteau,Sepia de sepión de cuchillo,Sepia cultrata,Hoyle 1885
WTB,Bartlett's cuttlefish,,,Sepia bartletti,(Iredale 1954)
OVK,Band cusk-eel,Brotule de banc,Congriperla de bajos,Ophidion holbrooki,Putnam 1874
DGQ,Specklefin cusk-eel,Congriperle tacheté,Congriperla pintada,Lepophidium negropinna,Hildebrand & Barton 1949
GVT,Rock ling,,,Genypterus tigerinus,Klunzinger 1872
WBM,Goatsbeard brotula,Brotule barbe-de-boue,Brótula barba de carnero,Brotula multibarbata,Temminck & Schlegel 1846
KXP,,,,Lyconus pinnatus,Günther 1887
EZL,Striped dumpling squid,,,Sepioloidea lineolata,(Quoy & Gaimard 1832)
GVI,Black gulper shark,,,Centrophorus isodon,"(Chu, Meng & Liu 1981)"
GVA,Blackfin gulper shark,,,Centrophorus atromarginatus,Garman 1913
JPS,Metallic codling,,Carbonero metálico,Physiculus fulvus,Bean 1884
HZZ,,,,Hemiodus spp,
SZJ,Hidden angel shark,,,Squatina occulta,Vooren & da Silva 1992
QAN,Alabama sturgeon,,,Scaphirhynchus suttkusi,Williams & Clemmer 1991
IEG,Otomebora mullet,Mulet otomebora,Lisa otomebora,Chelon melinopterus,(Valenciennes 1836)
QIT,Bengal snapper,Vivaneau du Bengale,Pargo de Bengala,Lutjanus bengalensis,(Bloch 1790)
QIU,Lunartail snapper,Vivaneau queue lune,Pargo raboluna,Lutjanus lunulatus,(Park 1797)
KVP,Fringed blenny,,,Mimoblennius cirrosus,Smith-Vaniz & Springer 1971
KVQ,Obliquebanded stingfish,,,Minous dempsterae,"Eschmeyer, Hallacher & Rama-Rao 1979"
KVR,Grey stingfish,Poisson pierre gris,Pez piedra gris,Minous monodactylus,(Bloch & Schneider 1801)
OVY,Maimed snake eel,Serpenton manchot,,Muraenichthys schultzei,Bleeker 1857
KZJ,Delagoa threadfin bream,Cohana delagoa,Baga delagoa,Nemipterus bipunctatus,(Valenciennes 1830)
KZI,Slender threadfin bream,Cohana élégante,Baga elegante,Nemipterus zysron,(Bleeker 1856)
NFV,Regal demoiselle,,,Neopomacentrus cyanomos,(Bleeker 1856)
NFQ,Arabian demoiselle,,,Neopomacentrus sindensis,(Day 1873)
KZL,Decorated ponyfish,,,Nuchequula gerreoides,(Bleeker 1851)
NZY,Arab blenny,,,Omobranchus fasciolatus,(Valenciennes 1836)
NZW,Mekran blenny,,,Omobranchus mekranensis,(Regan 1905)
NZV,Muzzled blenny,,Blennio hocicudo,Omobranchus punctatus,(Valenciennes 1836)
NZU,Bluntnose snake-eel,,,Ophichthus apicalis,(Bennett 1830)
NZQ,Robust jawfish,,,Opistognathus muscatensis,Boulenger 1888
NZJ,Birdled jawfish,,,Opistognathus nigromarginatus,Rüppell 1830
NZG,Spinecheek goby,,,Oplopomus oplopomus,(Valenciennes 1837)
NZF,Bluetail trunkfish,,,Ostracion cyanurus,Rüppell 1828
QCS,Cheekspot blenny,,,Parablennius opercularis,(Murray 1887)
QCW,Tasseled blenny,,,Parablennius thysanius,(Jordan & Seale 1907)
QYQ,McCosker's flasher,,,Paracheilinus mccoskeri,Randall & Harmelin-Vivien 1977
UEH,Emerald coral goby,,,Paragobiodon xanthosoma,(Bleeker 1853)
QZR,Gulf filefish,,,Paramonacanthus arabicus,Hutchins 1997
QZQ,Pig faced leather jacket,,,Paramonacanthus choirocephalus,(Bleeker 1851)
QZP,Hair-finned filefish,,,Paramonacanthus oblongus,(Temminck & Schlegel 1850)
IEH,Broad-mouthed mullet,Mulet,,Paramugil parmatus,(Cantor 1849)
QZO,Whitespot sandsmelt,,,Parapercis alboguttata,(Günther 1872)
QZN,Latticed sandperch,,,Parapercis clathrata,Ogilby 1910
QZM,Speckled sandperch,Pinge pintade,,Parapercis hexophtalma,(Cuvier 1829)
QZL,Barred sandperch,,,Parapercis nebulosa,(Quoy & Gaimard 1825)
QZK,Smallscale grubfish,,,Parapercis robinsoni,Fowler 1929
NJH,,,,Parascolopsis baranesi,Russell & Golani 1993
NJF,Rosy dwarf monocle bream,Mamila rosée,Besugato rosado,Parascolopsis eriomma,(Jordan & Richardson 1909)
NIZ,Scaly dwarf monocle bream,Mamila mignonne,Besugato menudo,Parascolopsis townsendi,Boulenger 1901
IEK,Rao's hover goby,,,Parioglossus raoi,(Herre 1939)
QZI,Whitesaddle goatfish,,,Parupeneus ciliatus,(Lacépède 1802)
QZJ,Pearly goatfish,,,Parupeneus margaritatus,Randall & Guézé 1984
QZH,Rosy goatfish,Rouget-barbet sellé,Salmonete ensillado,Parupeneus rubescens,(Lacépède 1801)
FAF,Barbate dragonfish,,,Eustomias enbarbatus,Welsh 1923
FAH,,,,Eustomias filifer,(Gilchrist 1906)
FAI,,,,Eustomias lipochirus,Regan & Trewavas 1930
FAK,,,,Eustomias melanonema,Regan & Trewavas 1930
FAN,,,,Eustomias melanostigma,Regan & Trewavas 1930
JSO,,,,Leptostomias longibarba,Regan & Trewavas 1930
KYP,Kyphosus sea chubs nei,Kyphosus calicagères nca,Kyphosus chopas nep,Kyphosus spp,
ESQ,Old wife fishes,,,Enoplosus spp,
MGS,,,,Mugil spp,
PGT,Pagothenia nei,Pagothenia nca,Pagothenia nep,Pagothenia spp,
BEH,Frostfishes,,,Benthodesmus spp,
CUP,,,,Cubiceps spp,
SOO,,,,Solea spp,
MOP,Sunfish,,,Mola spp,
ART,,,,Artedidraco spp,
POG,,,,Pogonophryne spp,
BSA,Atlantic seabasses,,,Morone spp,
HAU,Hapuka,,,Polyprion spp,
ALT,Leatherjacket filefishes,,,Aluterus spp,
NAN,,,,Nansenia spp,
AIB,Glassfishes,,,Ambassidae,
TAW,,,,Thamnaconus spp,
MYV,Mytilus mussels nei,Moules Mytilus nca,Mejillónes Mytilus nep,Mytilus spp,
AJM,Brine shrimps nei,Crevettes de salines nca,Artemias nep,Artemia spp,
OBQ,Procambarus crayfishes nei,Écrevisses Procambarus nca,Cangrejos río Procambarus nep,Procambarus spp,
XFS,Xiphopenaeus shrimps nei,Crevettes Xiphopenaeus nca,Camarones Xiphopenaeus nep,Xiphopenaeus spp,
YEU,Trachypenaeus shrimps nei,Crevettes Trachypenaeus nca,Camarones Trachypenaeus nep,Trachypenaeus spp,
NDP,Pandalopsis shrimps nei,Crevettes Pandalopsis nca,Camarones Pandalopsis nep,Pandalopsis spp,
PAI,,,,Paralomis spp,
LBS,Homarus lobsters nei,Homards nca,Bogavantes nep,Homarus spp,
PRD,Antarctic octopuses,Élédones antarctiques,Pulpos antárticos,Pareledone spp,
BRC,Arm squids nei,Encornets bras courts nca,Braquilurias nep,Brachioteuthis spp,
VEN,,,,Venerupis spp,
MEP,Beaked whales nei,,,Mesoplodon spp,
GLO,Pilot whales nei,,,Globicephala spp,
PEI,,,Coreano,Perinereis spp,
HQT,,,,Antipathes spp,
KRH,Wire coral,,,Cirrhipathes spp,
KQL,Branched bamboo coral,,,Acanella spp,
YGN,,,,Gymnogongrus spp,
KFF,,,,Callophyllis spp,
UCU,,,,Fucus spp,
CVT,Giant African cuttlefish,Seiche géante africaine,Sepia gigante africana,Sepia hierredda,Rang 1835
EGY,Egyptian sole,Sole égyptienne,Suela egipcia,Solea aegyptiaca,(Chabanaud 1927)
SBY,Silvergray rockfish,,,Sebastes brevispinis,(Bean 1884)
RPJ,Redstripe rockfish,,,Sebastes proriger,(Jordan & Gilbert 1880)
NUY,Varnish clam,,,Nuttallia obscurata,(Reeve 1857)
EAD,Andhra anchovy,,,Stolephorus andhraensis,Babu Rao 1966
EGJ,King eider,Eider à tête grise,Eider real,Somateria spectabilis,Linnaeus 1758
SJD,Common shelduck,Tadorne de belon,Tarro blanco,Tadorna tadorna,Linnaeus 1758
HWA,White-tailed sea-eagle,Pygargue à queue blanche,Pigargo europeo,Haliaeetus albicilla,Linnaeus 1758
BVZ,White-billed diver,Plongeon à bec blanc,Colimbo de Adams,Gavia adamsii,G.R. Gray 1859
BWC,Black-throated diver,Plongeon arctique,Colimbo artico,Gavia arctica,Linnaeus 1758
BWE,Great northern diver,Plongeon imbrin,Colimbo grande,Gavia immer,Brünnich 1764
BWF,Red-throated diver,Plongeon catmarin,Colimbo chico,Gavia stellata,Pontoppidan 1763
ISW,European shag,Cormoran huppé,Cormorán moñudo,Phalacrocorax aristotelis,Linnaeus 1761
ISY,Great cormorant,Grand cormoran,Cormorán grande,Phalacrocorax carbo,(Linnaeus 1758)
ITV,Cormorants nei,Cormoranes nca,Cormoranes nep,Phalacrocoracidae,
HFZ,Horned grebe,Grèbe esclavon,Zampullín cuellirrojo,Podiceps auritus,Linnaeus 1758
HHZ,Great crested grebe,Grèbe huppé,Somormujo Lavanco,Podiceps cristatus,Linnaeus 1758
HVE,Red-necked grebe,Grèbe jougris,Somormujo cuellirrojo,Podiceps grisegena,Boddaert 1783
DAZ,European storm-petrel,Océanite tempête,Paíño europeo,Hydrobates pelagicus,Linnaeus 1758
DBK,Leach's storm-petrel,Océanite culblanc,Paíño boreal,Oceanodroma leucorhoa,Vieillot 1818
QTB,Atlantic threadfin,Barbure huit doigts atlantique,Barbudo ocho dedos atlántico,Polydactylus octonemus,(Girard 1858)
QTC,Littlescale threadfin,Barbure à petites écailles,Barbudo de escamas pequeñas,Polydactylus oligodon,(Günther 1860)
QTD,Persian blackspot threadfin,Barbure à tâche noire de Perse,Barbudo de mancha negra persa,Polydactylus persicus,Motomura & Iwatsuki 2001
QTF,Largemouth striped threadfin,Barbure à grande bouche,Barbudo rayado de boca grande,Polydactylus siamensis,"Motomura, Iwatsuki & Yoshina 2001"
QTG,Barbu,Barbure de flaque,Barbudo de charco,Polydactylus virginicus,(Linnaeus 1758)
QTJ,Northern paradise fish,Barbure paradis du Nord,Barbudo paraíso norteño,Polynemus aquilonaris,Motomura 2003
QTK,Eastern paradise fish,Barbure paradis d'Orient,Barbudo paraíso oriental,Polynemus dubius,Bleeker 1854
QTM,Hornaday’s paradise fish,Barbure paradis de Hornaday,Barbudo paraíso de Hornaday,Polynemus hornadayi,Myers 1936
QAM,Syr Darya sturgeon,,,Pseudoscaphirhynchus fedtschenkoi,(Kessler 1872)
SWV,Angular angel shark,,Angelito,Squatina guggenheim,Marini 1936
QCM,Flagfin cardinalfish,,,Apogon truncatus,Bleeker 1855
DRK,Ariommatids nei,Ariommes nca,Ariomas nep,Ariomma spp,
PVQ,Senegalese smooth swimcrab,Étrille lisse du Sénégal,Jaiba satinada,Portunus validus,(Herklots 1851)
CWZ,Carcharhinus sharks nei,Requins Carcharhinus nca,Cazones Carcharhinus nep,Carcharhinus spp,
CWO,Gulper sharks nei,Squales-chagrins nca,Quelvachos nep,Centrophorus spp,
QLY,Orangelined cardinalfish,,,Archamia fucata,(Cantor 1849)
HWW,Tiger cardinal,,,Cheilodipterus arabicus,(Gmelin 1789)
HWY,Large toothed cardinalfish,,,Cheilodipterus macrodon,(Lacépède 1802)
HWZ,Twospot cardinalfish,,,Cheilodipterus novemstriatus,(Rüppell 1838)
HZB,Persian cardinalfish,,,Cheilodipterus persicus,Gon 1993
QCN,Bullseye,,,Apogonichthyoides nigripinnis,(Cuvier 1828)
QCO,Doublebar cardinalfish,,,Apogonichthyoides pseudotaeniatus,(Gon 1986)
QCP,Twobelt cardinal,,,Apogonichthyoides taeniatus,(Cuvier 1828)
QCR,Spotfin cardinal,,,Jaydia queketti,(Gilchrist 1903)
DJS,Glowbelly,Maconde lumineux,Farolito,Acropoma japonicum,Günther 1859
SZA,Blackmouth bass,,,Synagrops bellus,(Goode & Bean 1896)
SZZ,Smallscale splitfin,,,Synagrops microlepis,Norman 1935
UAE,Zebra tilefish,Tile zebre,Blanquillo cebra,Branchiostegus semifasciatus,(Norman 1931)
JWY,Razorbelly scad,Comète ruban,Macarela bandoneada,Alepes kleinii,(Bloch 1793)
QFM,Guinea snapper,Vivaneau de Guinée,Pargo de Guinea,Lutjanus endecacanthus,Bleeker 1863
NQG,Striped monocle bream,Scolopsis rayé,,Scolopsis lineata,Quoy & Gaimard 1824
GFH,Lesson's thicklip,,,Plectorhinchus lessonii,(Cuvier 1830)
QXN,Arabian sea meagre,Maigre arabe,Corvina árabe,Argyrosomus heinii,(Steindachner 1902)
QCK,Guinea croaker,Otolithe guinéen,Corvina de Guinea,Pseudotolithus epipercus,Bleeker 1863
DTF,Barnard dentex,Denté austral,Chacarona sureña,Dentex barnardi,(Cadenat 1970)
KBK,Soldierbream,Spare soldat,Sargo soldado,Argyrops filamentosus,(Valenciennes 1830)
QCQ,Southern common seabream,Pagre des tropiques,Pargo sureño,Pagrus africanus,Akazaki 1962
QZU,Bigeye picarel,Picarel à gros yeux,Chucla ojona,Spicara alta,(Osório 1917)
QBS,African moony,Breton africain,Rambalí,Monodactylus sebae,(Cuvier 1829)
QZF,,,,Prognathodes marcellae,(Poll 1950)
IBM,Mirror butterflyfish,,,Chaetodon speculum,Cuvier 1831
IBT,Chevron butterflyfish,,,Chaetodon trifascialis,Quoy & Gaimard 1825
IVW,Redtail butterflyfish,,,Chaetodon collare,Bloch 1787
IVY,Gardner's butterflyfish,,,Chaetodon gardineri,Norman 1939
IWA,Arabian butterflyfish,,,Chaetodon melapterus,Guichenot 1863
IWB,Black-spotted butterflyfish,,,Chaetodon nigropunctatus,Sauvage 1880
QZE,Walton's mudskipper,,,Periophthalmus waltoni,Koumans 1941
UAJ,Floral blenny,,,Petroscirtes mitratus,Rüppell 1830
UAK,Variable sabretooth blenny,,,Petroscirtes variabilis,Cantor 1849
QQM,Hoeven's snake eel,,,Pisodonophis hoeveni,(Bleeker 1853)
IEU,Townsend's fangblenny,,,Plagiotremus townsendi,(Regan 1905)
IET,Dusky batfish,,,Platax pinnatus,(Linnaeus 1758)
IEW,Harry hotlips,Diagramme noir,Burro negro,Plectorhinchus gibbosus,(Lacépède 1802)
IEY,Yellowbanded sweetlips,,,Plectorhinchus lineatus,(Linnaeus 1758)
IEZ,Thinspine sea catfish,Mâchoiron aiguillette,Bagre aqujilla,Plicofollis tenuispinis,(Day 1877)
QFI,Semicircle angelfish,Poisson ange bleu,,Pomacanthus semicirculatus,(Cuvier 1831)
QFJ,Dark damsel,,,Pomacentrus aquilus,Allen & Randall 1980
QFK,Slender damsel,,,Pomacentrus leptus,Allen & Randall 1980
QFL,Paletail damsel,,,Pomacentrus trichrourus,Günther 1867
QFN,Threeline damsel,,,Pomacentrus trilineatus,Cuvier 1830
QFO,Threespot damsel,,,Pomacentrus tripunctatus,Cuvier 1830
UAT,Bluespotted dottyback,,,Pseudochromis persicus,Murray 1887
UAR,Blackstripe dottyback,,,Pseudochromis nigrovittatus,Boulenger 1897
UAP,Yellowtail dottyback,,,Pseudochromis linda,Randall & Stanaland 1989
UAO,Dutoiti,,,Pseudochromis dutoiti,Smith 1955
UAN,,,,Pseudochromis caudalis,Boulenger 1898
DVZ,Townsend's anthias,,,Pseudanthias townsendi,(Boulenger 1897)
UAM,Tarr's cardinalfish,,,Pseudamia tarri,"Randall, Lachner & Fraser 1985"
UAL,Randall's goby,,,Priolepis randalli,Winterbottom & Burridge 1992
UAI,Girdled goby,,,Priolepis cincta,(Regan 1908)
QDC,Paeony bulleye,Beauclaire pivoine,Catalufa florera,Priacanthus blochii,Bleeker 1853
QDA,Bronzestriped grunt,,,Pomadasys taeniatus,McKay & Randall 1995
QCY,Banded grunter,Goret à six bandes,Ronco de seis bandas,Pomadasys furcatus,(Bloch & Schneider 1801)
IEP,Clouded lizardfish,Anoli nuageux,Lagarto nubífero,Saurida nebulosa,Valenciennes 1850
IEN,Longfin lizardfish,Anoli aile longue,Lagarto aletón,Saurida longimanus,Norman 1939
IEM,Gracile lizardfish,Anoli grêle,Lagarto grácil,Saurida gracilis,(Quoy & Gaimard 1824)
HWH,Redcoat,Marignan rouget,,Sargocentron rubrum,(Forsskål 1775)
UAZ,Thorny flathead,Platycéphale épineux,,Rogadius pristiger,(Cuvier 1829)
IEL,Picasso triggerfish,,,Rhinecanthus assasi,(Forsskål 1775)
UHM,Blue gudgeon,,,Ptereleotris microlepis,(Bleeker 1856)
UHI,Cocktail wrasse,,,Pteragogus flagellifer,(Valenciennes 1839)
UHH,Draco waspfish,,,Pseudovespicula dracaena,(Cuvier 1829)
DGC,Triplecross lizardfish,Anoli croix,Lagarto de cruces,Synodus macrops,Tanaka 1917
DFZ,Sand lizardfish,Anoli bigarré,,Synodus dermatogenys,Fowler 1912
QFV,Stonefish,Poisson pierre commun,Pez piedra común,Synanceia verrucosa,Bloch & Schneider 1801
QFU,Red Sea stonefish,,,Synanceia nana,Eschmeyer & Rama-Rao 1973
SRP,Australian pilchard,,,Sardinops neopilchardus,(Steindachner 1879)
TFM,Whiskery shark,Émissole moustachue,Cazón bigotudo,Furgaleus macki,(Whitley 1943)
YFQ,Phyllophora nei,Phyllophora nca,Phyllophora nep,Phyllophora spp,
KEZ,Eastern Pacific green turtle,Tortue verte du Pacifique est,Tortuga prieta,Chelonia agassizii,Bocourt 1868
TXY,"Tambacu, hybrid",,"Pacotana, híbrido",P. mesopotamicus x C. macropomum,
HZP,,,,Haematococcus pluvialis,Flotow 1844
HZC,Triangle sail mussel,,,Hyriopsis cumingii,Lea 1834
WCP,Cockscomb pearl mussel,,,Cristaria plicata,(Leach 1815)
AWD,Chinese giant salamander,,,Andrias davidianus,(Blanchard 1871)
HVG,,,,Halieutopsis galatea,Bradbury 1988
AVS,Small scaled brown slickhead,,,Alepocephalus australis,Barnard 1923
DHO,Longspined porcupinefish,Porc-épic ballon,Pejerizo balón,Diodon holocanthus,Linnaeus 1758
BFP,Great blue spotted mudskipper,,,Boleophthalmus pectinirostris,(Linnaeus 1758)
BXN,,,,Brycon hilarii,(Valenciennes 1850)
BZH,,,Bocón,Brycon amazonicus,(Spix & Agassiz 1829)
HWU,Trahira,,Tararira,Hoplias malabaricus,(Bloch 1794)
KEM,Portly spider crab,,,Libinia emarginata,Leach 1815
OXW,"Blue-Nile tilapia, hybrid",,"Tilapia azul-del Nilo, híbrido",Oreochromis aureus x O. niloticus,
QPN,Black prochilodus,,,Prochilodus nigricans,Spix & Agassiz 1829
TXK,Tiger pufferfish,,,Takifugu rubripes,(Temminck & Schlegel 1850)
TXZ,"Tambatinga, hybrid",,,C. macropomum x P. brachypomus,
TZO,Obscure pufferfish,,,Takifugu obscurus,(Abe 1949)
TKZ,Tonkin grass shrimp,Bouquet tonkinois,Camarón tonkinés,Palaemonetes tonkinensis,(Sollaud 1914)
PVV,Marsh shrimp,Bouquet des marais,Camarón de fangal,Palaemonetes vulgaris,(Say 1818)
HPQ,Mino nylon shrimp,Crevette nylon mino,Camarón nailon mino,Heterocarpus sibogae,De Man 1917
HUV,Northern nylon shrimp,Crevette nylon nordique,Camarón nailon norteño,Heterocarpus vicarius,Faxon 1893
DUD,Dock shrimp,Crevette des quais,Camarón de muelle,Pandalus danae,Stimpson 1857
QTR,Blackhand paradise fish,Barbure paradis à doigts noirs,Barbudo paraíso de mano negra,Polynemus melanochir,Valenciennes 1831
QTS,Elegant paradise fish,Barbure paradis élégante,Barbudo paraíso elegante,Polynemus multifilis,Temminck & Schlegel 1843
QTW,Kapuas elegant paradise fish,Barbure paradis de Kapuas,Barbudo paraíso de Kapuas,Polynemus kapuasensis,Motomura & van Oije 2003
PVB,Kerguelen petrel,Pétrel de Kerguelen,Petrel de las Kerguelen,Pterodroma brevirostris,(Lesson 1831)
PWL,White-headed petrel,Pétrel de Lesson,Petrel cabeciblanco,Pterodroma lessonii,(Garnot 1826)
ONV,Spiky oreo,,,Neocyttus rhomboidalis,Gilchrist 1906
HFR,Red gurnard perch,,,Helicolenus percoides,(Richardson & Solander 1842)
EJZ,Magpie perch,,,Cheilodactylus nigripes,Richardson 1850
LHW,Silver gull,Mouette argentée,Gaviota plateada australiana,Larus novaehollandiae,Stephens 1826
ETQ,Thorny lanternshark,Sagre épineux,Tollo lucero espinudo,Etmopterus sentosus,"Bass, D'Aubrey & Kistnasamy 1976"
ETW,Green lanternshark,Sagre vert,Tollo lucero verde,Etmopterus virens,"Bigelow, Schroeder & Springer 1953"
ERV,Ribbon halfbeak,Demi-bec allongé,Agujeta alargada,Euleptorhamphus viridis,(van Hasselt 1823)
EUZ,Taillight shark,Squale à queue claire,Tollo rabo claro,Euprotomicroides zantedeschia,Hulley & Penrith 1966
IWC,Vagabond butterflyfish,,,Chaetodon vagabundus,Linnaeus 1758
IVZ,Indian barred butterflyfish,,,Roa jayakari,(Norman 1939)
IBZ,,,,Bathybates minor,Boulenger 1906
TUJ,Arabian scad,Chinchard d'Arabie,Jurel arábigo,Trachurus indicus,Necrasov 1966
TTE,Sharptooth houndshark,Virli dentu,Tollo dentudo,Triakis megalopterus,(Smith 1839)
INC,Unicorn blunthorn lobster,Langouste unicorne,Langosta unicornia,Palinustus unicornutus,Berry 1979
NPJ,African mud crab,Crabe caillou africain,Canrejo de piedra africano,Panopeus africanus,A. Milne Edwards 1867
KLL,Masked swimcrab,Crabe draguenelle,Jaiba de mascara,Callinectes larvatus,Ordway 1863
KLO,Shelling crab,Crabe gris,Jaiba gris,Callinectes ornatus,Ordway 1863
EHK,Giant ciliate Ethusa,Ethuse ciliée géante,Etusa ciliada gigante,Ethusa ciliatifrons,Faxon 1893
GKM,Malpelo land crab,Tomourou de Malpelo,Moro de Malpelo,Gecarcinus malpilensis,Faxon 1893
RMS,Hairy matchbox crab,Anglette poilue,Abuete cajeta peluda,Sesarma sulcatum,Smith 1870
MXT,Harbour spidercrab,Araignée portuaire,Araña porteña,Mithrax armatus,de Saussure 1853
REX,Sand swimcrab,Crabe de sable,Jaiba arenera,Arenaeus mexicanus,(Gerstaecker 1856)
KLI,Warrior swimcrab,Crabe nageur soldat,Jaiba guerrera,Callinectes bellicosus,(Stimpson 1859)
OUE,Rough swimcrab,Étrille rugueuse,Jaiba aspera,Portunus asper,A. Milne Edwards 1861
IOD,Blue-leg swimcrab,Étrille pattes bleues,Falsa necora,Liocarcinus depurator,(Linnaeus 1758)
NUV,Painted spiny lobster,Langouste barriolée,Langosta colorete,Panulirus versicolor,(Latreille 1804)
UIA,Masked triggerfish,Baliste masqué,Calafate mascarilla,Sufflamen fraenatum,(Latreille 1804)
QDJ,Slender wrasse,,,Suezichthys gracilis,(Steindachner & Döderlein 1887)
QDG,Spottail wrasse,,,Suezichthys caudavittatus,(Steindachner 1898)
QDF,Cutribbon wrasse,,,Stethojulis interrupta,(Bleeker 1851)
KOY,Reticulated leatherjacket,Bourse garnale,Lija garnal,Stephanolepis diaspros,Fraser-Brunner 1940
QFR,Tuberculated flathead,Platycéphale poignard,Chato puñalero,Sorsogona tuberculata,(Cuvier 1829)
IIS,Arabian sillago,Pêche-madame arabe,Silago arabe,Sillago arabica,McKay & McCarthy 1989
JBJ,Bridled monocle bream,Mamila de Seychelles,Besugato de Seychelles,Scolopsis frenata,(Cuvier 1830)
JBI,Yellowstripe monocle bream,Mamila à bande dorée,Besugato de banda dorada,Scolopsis aurata,(Park 1797)
UBJ,Purple-brown parrotfish,Perroquet pourpre-marron,Loro púrpura,Scarus fuscopurpureus,(Klunzinger 1871)
UBG,Rusty parrotfish,Perroquet ronille,Loro orín,Scarus ferrugineus,Forsskål 1775
UAW,Arabian parrotfish,Perroquet arabe,Loro de Arabia,Scarus arabicus,(Steindachner 1902)
QDD,Indian O. slender mudskipper,,,Scartelaos tenuis,(Day 1876)
IHJ,Fivefinger wrasse,Rason ocellé,Cuchilla ocelada,Iniistius pentadactylus,(Linnaeus 1758)
IHH,Two-spot razorfish,Rason deux taches,Cuchilla de lunar,Iniistius bimaculatus,(Rüppell 1829)
XMR,Hairtail blenny,,,Xiphasia setifer,Swainson 1839
XMQ,,,,Xenisthmus balius,Gill & Randall 1994
VFW,Sixspot goby,,,Valenciennea sexguttata,(Valenciennes 1837)
VFV,,,,Valenciennea persica,Hoese & Larson 1994
UCW,Bensasi goatfish,Rouget-souris bensasi,,Upeneus japonicus,(Houttuyn 1782)
UCV,Gilded goatfish,,,Upeneus doriae,(Günther 1869)
UBZ,Asymmetrical goatfish,,Salmonete levantino,Upeneus asymmetricus,Lachner 1954
QHA,,,,Trypauchen vagina,(Bloch & Schneider 1801)
QGY,Winterbottom's goby,,,Trimma winterbottomi,Randall & Downing 1994
QGW,Arabian sand diver,,,Trichonotus arabicus,Randall & Tarr 1994
QGV,Spotted sand-diver,,,Trichonotus setiger,Bloch & Schneider 1801
QFB,Orange-spotted toadfish,,,Torquigener hypselogeneion,(Bleeker 1852)
QFF,,Tétrodon constellé,,Torquigener flavimaculosus,Hardy & Randall 1983
QFA,Fan shrimp-goby,,,Tomiyamichthys latruncularius,(Klausewitz 1974)
QEL,Celebes flathead,,,Thysanophrys celebica,(Bleeker 1855)
QKB,Surge wrasse,Girelle hublot,Doncella de mareas,Thalassoma purpureum,(Forsskål 1775)
QKA,Humpback turretfish,Coffre bossu,Cofre jorobado,Tetrosomus gibbosus,(Linnaeus 1758)
QUV,Iridescent cardinalfish,,,Pristiapogon kallopterus,(Bleeker 1856)
QUU,Blackfoot cardinal,,,Apogon nigripes,Playfair 1867
JIP,Bluespotted wrasse,Labre constellé,,Anampses caeruleopunctatus,Rüppell 1829
JIO,Twobar anemonefish,Poisson-clown d'Allard,,Amphiprion allardi,Klausewitz 1970
